Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,Domestic Share
253,Mirreyes contra Godinez,"$11,949,192 ",,"$11,949,192 ",
254,City Hunter: Shinjuku Private Eyes,"$11,949,165 ",,"$11,949,165 ",
255,Quan zhi gao shou zhi dian feng rong yao,"$11,840,495 ",,"$11,840,495 ",
256,Good Newwz,"$11,653,583 ",,"$11,653,583 ",
257,Uta no Prince-sama - Maji Love Kingdom Movie,"$11,597,863 ",,"$11,597,863 ",
258,Violet Evergarden Gaiden: Eien to Jidou Shuki N…,"$11,529,657 ",,"$11,529,657 ",
259,Ride Like a Girl,"$11,490,079 ",,"$11,490,079 ",
260,Fisherman\'s Friends,"$11,404,202 ",,"$11,404,202 ",
261,Soyuz spaseniya,"$11,377,906 ",,"$11,377,906 ",
262,Yellow Rose,"$11,213,147 ",,"$11,213,147 ",
263,Ma cosa ci dice il cervello,"$11,174,956 ",,"$11,174,956 ",
264,Doragon Kuesuto Yua Sut?r?,"$11,114,288 ",,"$11,114,288 ",
265,The Current War: Director’s Cut,"$10,970,680 ","$5,978,673 ","$4,992,007 ",54.50%
266,Saja,"$10,776,117 ","$102,982 ","$10,673,135 ",0.96%
267,Polityka,"$10,586,482 ",,"$10,586,482 ",
268,No Longer Human,"$10,452,114 ",,"$10,452,114 ",
269,Jexi,"$10,380,813 ","$6,546,159 ","$3,834,654 ",63.06%
270,The Best of Enemies,"$10,220,614 ","$10,205,616 ","$14,998 ",99.85%
271,Naui Teukbyeolhan Hyungje,"$10,207,898 ",,"$10,207,898 ",
272,Bei Guang Zhua Zou De Ren,"$10,102,949 ",,"$10,102,949 ",
273,Where’d You Go Bernadette,"$10,078,776 ","$9,198,356 ","$880,420 ",91.26%
274,Leberkäsjunkie,"$10,057,790 ",,"$10,057,790 ",
